A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
Yes,Price Center,Green Table Room,86.25,3.7100999999999997,2024-10-16,Speaker,Wednesday
Yes,Price Center,Price Center-Red Shoe Room,187.38,1.3342,2024-10-16,Social,Wednesday
-,Price Center,Bear Room Price Center,303.5,0.9885,2024-10-16,Workshop,Wednesday
-,Warren,Henry Booker Room 2512,277.79,0.07200000000000006,2024-10-16,Workshop,Wednesday
Yes,Revelle,NSB atrium,163.18,0.9192,2024-10-17,GBM,Thursday
No,Price Center,Price Center- Green Table Room,348.01,0.02870000000000006,2024-10-17,GBM,Thursday
-,Mandeville Auditorium,Stage Room,313.5,0.0,2024-10-17,Speaker,Thursday
-,Price Center,The Forum,343.8,0.8144,2024-10-17,Social,Thursday
-,Price Center,PC West Green Table Room,338.07,0.6212,2024-10-17,Social,Thursday
-,Price Center,Price Center - Red Shoe Room,595.0,0.7059,2024-10-17,Speaker,Thursday
-,Warren,CSE B225,178.05,0.8425,2024-10-17,Workshop,Thursday
No,Warren,CSE B225,97.24,1.6454,2024-10-17,Workshop,Thursday
-,Price Center,Price Center Theater,172.4,0.9861,2024-10-17,Speaker,Thursday
-,Pepper Canyon,raza Centro Space PPCH #104,191.79,1.5642,2024-10-17,GBM,Thursday
-,Mandeville Auditorium,Student Center - Dolores Huerta - Philip Vera Cruz Room,560.3,0.6068,2024-10-17,GBM,Thursday
-,Price Center,Eleanor Roosevelt college room,286.4,0.0,2024-10-17,Speaker,Thursday
-,Pepper Canyon,ASML Conference Center,156.24,1.6000999999999999,2024-10-18,GBM,Friday
No,Pepper Canyon,ASML Room,521.49,0.2876000000000001,2024-10-18,Social,Friday
-,Price Center,Price Center - Bear Room,350.0,0.6286,2024-10-18,Social,Friday
-,Price Center,Red Shoe Room,147.5,2.1017,2024-10-18,Social,Friday
-,Revelle,Natural Science Building (NSB) 3211,27.98,0.0,2024-10-18,GBM,Friday
-,Price Center,Price Center Warren College Room,80.0,0.0,2024-10-18,Social,Friday
-,Mandeville Auditorium,Student Services Center: Multipurpose Room & Town Square,2000.0,1.6,2024-10-19,Social,Saturday
No,Warren,Qualcomm Conference Center (both rooms),600.0,0.0,2024-10-19,Social,Saturday
-,Pepper Canyon,SME 248,316.0,0.6961999999999999,2024-10-21,Recruitment,Monday
-,Price Center,Ballroom West A,597.2,2.428,2024-10-21,Social,Monday
-,Price Center,The Forum,350.0,1.7143000000000002,2024-10-22,Social,Tuesday
-,Price Center,Price Center Marshall Room,543.06,0.44189999999999996,2024-10-22,Recruitment,Tuesday
-,Warren,Computer Science & Engineering Building - CSE1202,453.12,2.6704,2024-10-22,Recruitment,Tuesday
-,Pepper Canyon,SME 248,378.63,1.2149,2024-10-22,Recruitment,Tuesday
-,Price Center,Green Table Room (Price Center),214.42,1.9121,2024-10-23,GBM,Wednesday
Yes,Price Center,Price Center ERC Room,41.42,4.1043,2024-10-23,Social,Wednesday
Yes,Pepper Canyon,EnVision,349.11,1.4036,2024-10-23,GBM,Wednesday
Yes,Price Center,Warren College Room,92.5,2.5946,2024-10-23,Speaker,Wednesday
Yes,Price Center,Price Center ERC Room,258.6,1.2761,2024-10-23,Workshop,Wednesday
No,Price Center,ERC Room,298.14,0.6708000000000001,2024-10-23,GBM,Wednesday
No,Price Center,Eleanor Roosevelt College Room,350.0,1.0286,2024-10-24,Social,Thursday
Yes,Revelle,NSB atrium,163.18,0.8579,2024-10-24,GBM,Thursday
Yes,Mandeville Auditorium,Student Center - Dolores Huerta - Philip Vera Cruz Room,350.0,0.7429,2024-10-24,GBM,Thursday
Yes,Warren,CSE B225,231.27,0.4756,2024-10-24,Workshop,Thursday
Not Found,Pepper Canyon,ASML Room,339.99,0.5,2024-10-24,Workshop,Thursday
No,Price Center,PC Ballroom West B,2280.71,0.10959999999999992,2024-10-24,Speaker,Thursday
Not Found,Pepper Canyon,Raza Centro Space PPCH #104,191.79,1.9292,2024-10-24,GBM,Thursday
No,Price Center,Price Center Forum,570.0,0.7368,2024-10-24,Speaker,Thursday
Yes,Warren,Henry Booker Room 2512,598.75,0.3340000000000001,2024-10-24,Workshop,Thursday
Not Found,Price Center,Red Shoe Room,350.0,0.0,2024-10-25,Speaker,Friday
-,Price Center,Price Center East Ballroom,600.0,0.0,2024-10-25,Social,Friday
No,Warren,Warren SAC,594.78,0.0,2024-10-25,Religion,Friday
Yes,Price Center,Marshall College Room,147.5,0.7458,2024-10-25,Social,Friday
Not Found,Revelle,Natural Science Building (NSB) 3211,85.9,0.0,2024-10-25,GBM,Friday
Not Found,Warren,Henry Booker Room 2512,293.08,0.0,2024-11-23,Competition,Saturday
Yes,Price Center,"East Ballroom, ERC Room, Forum, Marshall Room, Revelle Room, Theater",2899.27,0.9071,2024-10-27,Recruitment,Sunday
No,Price Center,Price Center Ballrooms AB,2409.95,2.083,2024-10-27,Social,Sunday
Yes,Warren,Henry Booker Room,344.8,0.7831,2024-10-28,Speaker,Monday
No,Pepper Canyon,ASML Room,192.46,1.0911,2024-10-28,Social,Monday
No,Warren,Zweifach Library - PFBH,42.89,4.4299,2024-10-28,Social,Monday
No,Pepper Canyon,transfer hub,281.79,0.9582,2024-10-28,Other,Monday
No,Warren,Qualcomm Room in Jacobs Hall,470.27,0.8718,2024-10-29,GBM,Tuesday
Yes,Mandeville Auditorium,Stage Room & Patio,595.0,0.9412,2024-10-29,GBM,Tuesday
Yes,Warren,Henry Booker Room,595.0,0.7395,2024-10-29,Workshop,Tuesday
Yes,Pepper Canyon,SME 248,255.84,1.0553,2024-10-29,Social,Tuesday
-,Price Center,Warren College Room @ Price Center,189.0,0.0,2024-10-29,Workshop,Tuesday
No,Price Center,Marshall College Room,500.0,0.0,2024-10-29,Other,Tuesday
-,Price Center,Green Table Room,66.08,0.0,2024-10-29,Social,Tuesday
No,Price Center,PC East,567.0,0.0,2024-10-29,Workshop,Tuesday
Yes,Revelle,Natural Sciences Building,599.99,0.4667,2024-10-30,GBM,Wednesday
-,Price Center,Price Center - Warren College Room,595.0,0.0,2024-10-30,Social,Wednesday
Yes,Price Center,Price Center Marshall Room,242.5,1.0309,2024-10-30,Recruitment,Wednesday
No,Mandeville Auditorium,Dolores Huerta Meeting Room,296.31,0.7087,2024-10-30,Speaker,Wednesday
Yes,Pepper Canyon,SME 248 ASML Conference Center,600.0,0.0,2024-10-30,Speaker,Wednesday
Yes,Price Center,Price Center Theater,573.69,2.2137000000000002,2024-10-30,GBM,Wednesday
Yes,Pepper Canyon,EnVision,349.11,1.0885,2024-10-30,GBM,Wednesday
Yes,Price Center,"Price Center, Ballroom A",1154.71,0.9526,2024-10-30,Religion,Wednesday
No,Mandeville Auditorium,Matthew's Quad,209.79,1.3822999999999999,2024-10-30,Religion,Wednesday
-,Price Center,PC East Ballroom,2000.0,0.645,2024-10-31,Religion,Thursday
Yes,North Campus,Triton Esports Center,600.0,2.15,2024-10-31,Social,Thursday
-,Pepper Canyon,raza Centro Space PPCH #104,191.49,0.10439999999999994,2024-10-31,GBM,Thursday
Yes,Price Center,Price Center Forum,573.45,1.2730000000000001,2024-10-31,Social,Thursday
Not Found,Library Walk,Outdoor Tabling Library Walk 1984,90.91,0.0,2024-10-31,Recruitment,Thursday
