DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week
2025-02-05,Mandeville Auditorium,GBM,161.37,Yes,1.2394,Wednesday
2025-02-05,Price Center,Religion,400.0,No,0.75,Wednesday
2025-02-05,Price Center,Social,242.5,Yes,0.7010000000000001,Wednesday
2025-02-05,Mandeville Auditorium,Religion,559.95,No,0.7142999999999999,Wednesday
2025-02-05,Warren,Workshop,134.69,No,1.6334,Wednesday
2025-02-06,Pepper Canyon,Recruitment,597.59,Yes,0.6694,Thursday
2025-02-06,Warren,GBM,182.4,Yes,2.1382,Thursday
2025-02-06,Price Center,GBM,1293.59,No,0.7035,Thursday
2025-02-06,Warren,Workshop,134.69,No,0.6682,Thursday
2025-02-07,Pepper Canyon,Social,293.31,No,0.6136999999999999,Friday
2025-02-07,Warren,Social,134.69,No,0.6682,Friday
2025-02-10,Revelle,GBM,,Yes,1.0,Monday
2025-02-10,Library Walk,Religion,343.83,No,0.6399,Monday
2025-02-10,Revelle,GBM,65.0,No,1.5385,Monday
