NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Undergraduate Student Research Panel,1/28/2025,SME 248,$178.81 ,No,26,-45.41%,Workshop,Pepper Canyon
Winter W4 Project Committee,1/29/2025,EnVision,$300.00 ,Not Found,32,-6.67%,Recruitment,Pepper Canyon
TNT Forum,1/29/2025,Henry Booker,$100.18 ,No,10,0.18%,Workshop,Warren
ACM Celebrates Lunar New Year,1/29/2025,ASML Room,$549.53 ,Not Found,44,19.93%,Religion,Pepper Canyon
Lunar New Year,1/29/2025,Price Center Marshall Room,$305.47 ,Yes,49,-60.41%,Religion,Price Center
Stickers,1/29/2025,Price Center Bear Room,$510.00 ,Yes,34,33.33%,Social,Price Center
Designing for All: Practicing Accessible UI,1/29/2025,ASML Room,$147.84 ,Yes,26,-75.87%,Workshop,Pepper Canyon
Tech Dev Workshop 3,1/29/2025,B225,$215.39 ,Yes,15,30.36%,Workshop,Warren
iClick3r H@ckin',1/30/2025,SME ASML Room,$134.69 ,Not Found,,100.00%,Workshop,Pepper Canyon
Networking with Alumni,1/30/2025,PC Forum,$382.51 ,Yes,25,34.64%,Speaker,Price Center
UCSD HAARP Letter Writing Campaign: Bridging Connections Beyond Bars,1/30/2025,Price Center - Sixth College Room,$59.54 ,No,,100.00%,Workshop,Price Center
Mentor Mentee Sizzling Reveal Party,1/30/2025,Bear Room,$300.00 ,Yes,12,60.00%,Recruitment,Price Center
UCSD Tour with San Diego High School,1/30/2025,Warren Mall,$263.72 ,Yes,14,46.91%,Social,Warren
HRI Winter Social,1/30/2025,Marshall College Room,$376.40 ,Not Found,,100.00%,Social,Price Center
Week 4 gbm,1/31/2025,NSB atrium,,Yes,40,#DIV/0!,GBM,Revelle
ECE Depths Seminar,1/31/2025,Qualcomm Conference Room,$552.27 ,Yes,61,-10.45%,Workshop,Warren
Art Block,1/31/2025,Bear Room,$297.27 ,Yes,40,-34.56%,Workshop,Price Center
Chinese Drama Club Winter Performance,2/1/2025,PC East Ballroom,,Not Found,42,#DIV/0!,Workshop,Price Center
SEA Club Winter Formal,2/1/2025,Price Center Dance Studio,$280.53 ,Not Found,,100.00%,Social,Price Center
Mock Mehndi,2/1/2025,Price Center Ball Room B,"$3,518.75 ",Yes,46,86.93%,Religion,Price Center
H.A.R.D. Hack Day 1 Breakfast,2/1/2025,Jacobs School of Engineering Classroom 2315,$584.10 ,Yes,11,81.17%,Competition,Warren
ArtSpark Cafe,2/1/2025,"Dolores Huerta - Philip Vera Cruz Room, Student Center",$157.56 ,Not Found,110,-598.15%,Social,Mandeville Auditorium
H.A.R.D. Hack Day 1,2/1/2025,Henry Booker Room,$862.00 ,No,5,94.20%,Competition,Warren
H.A.R.D. Hack Day 1 [meal],2/1/2025,Qualcomm Conference Center and Classroom 2509,"$1,163.27 ",No,35,69.91%,Competition,Warren
General Body Meeting,2/3/2025,Vaughn 100,$78.18 ,No,,100.00%,GBM,Scripps
Winter Week 5 Board Game and Boba Game Night,2/3/2025,Price Center West Ballroom B,$742.24 ,Yes,138,-85.92%,Social,Price Center
Intro to Music Coding,2/3/2025,Fishbowl (CSE B225),$134.69 ,Not Found,,100.00%,Workshop,Warren
NETS x NSBE x IEEE Social,2/3/2025,Price Center Forum,$366.36 ,Yes,40,-9.18%,Social,Price Center
GBM 2,2/4/2025,Qualcomm Conference Center,$510.74 ,Yes,33,35.39%,GBM,Warren
SWE Winter GBM #2,2/4/2025,Henry Booker Room,$216.58 ,Not Found,39,-80.07%,GBM,Warren
Slime Event,2/4/2025,PFBH 489 (Zweifach Library),$261.59 ,No,26,0.61%,Social,Warren
Keychain Charm Social,2/4/2025,ASML Room,$273.79 ,Yes,11,59.82%,Social,Pepper Canyon
Winter W5 Project Committee,2/5/2025,EnVision,$300.00 ,Not Found,38,-26.67%,Recruitment,Pepper Canyon
oSTEM GBM #2: Tarot Cards,2/5/2025,LGBT Resource Center,$161.37 ,Yes,20,-23.94%,GBM,Mandeville Auditorium
MYSA CNY Celebration,2/5/2025,Price Center Red Shoe Room,$400.00 ,No,30,25.00%,Religion,Price Center
HKN Officer Speed Networking,2/5/2025,Marshall College Room,$242.50 ,Yes,17,29.90%,Social,Price Center
ABSA Celebration of Imams' Birthdays,2/5/2025,Dolores Huerta - Philip Vera Cruz Room,$559.95 ,Not Found,40,28.57%,Religion,Mandeville Auditorium
AMSA Physician Mixer,2/5/2025,Multipurpose Room,$700.00 ,Not Found,,100.00%,Social,Mandeville Auditorium
"Camp CompTIA+: Attacks, Threats, & Vulnerabilities",2/5/2025,Fishbowl (CSE B225),$134.69 ,Not Found,22,-63.34%,Workshop,Warren
Project Teams Meetup 2,2/6/2025,SME 248,$597.59 ,Yes,40,33.06%,Recruitment,Pepper Canyon
BMES Winter GBM #2,2/6/2025,Fung Auditorium at Powell-Focht Bioengineering Hall,$182.40 ,Yes,39,-113.82%,GBM,Warren
IAW GBM,2/6/2025,PC Ballroom East,"$1,293.59 ",Not Found,91,29.65%,GBM,Price Center
Audience Hooks,2/6/2025,Price Center Bear Room,$280.00 ,Not Found,,100.00%,Workshop,Price Center
Q-Learning For Poker,2/6/2025,Fishbowl (CSE B225),$134.69 ,Not Found,9,33.18%,Workshop,Warren
RGC Doubt Night,2/7/2025,Huerta- Vera Cruz,$441.78 ,No,,100.00%,Religion,Mandeville Auditorium
Paint and Sip,2/7/2025,Cross Cultural Center Art Space,$293.31 ,No,18,38.63%,Social,Pepper Canyon
ACM Game Night,2/7/2025,Fishbowl (CSE B225),$134.69 ,Not Found,9,33.18%,Social,Warren
Musicians’ Club Open Mic,2/8/2025,PC Theater,$800.00 ,Not Found,,100.00%,Workshop,Price Center
IEEE QP Workathon 1,2/8/2025,Henry Booker Room,$274.00 ,Not Found,,100.00%,Workshop,Warren
UCSD CSSA Spring Festival Gala 2025,2/9/2025,Mandeville Auditorium,"$5,000.00 ",Yes,,100.00%,Religion,Mandeville Auditorium
Graphite Week 6 GBM (Lab report workshop),2/10/2025,NSB Auditorium,,Yes,,0.00%,GBM,Revelle
Islam Awareness Week Tabling: Day 1,2/10/2025,Library Walk,$343.83 ,Not Found,22,36.01%,Religion,Library Walk
Welcome Back Winter GBM,2/10/2025,Pac Hall 3500,$65.00 ,Not Found,10,-53.85%,GBM,Revelle
IAW Night Event 1,2/10/2025,Multi-Purpose Room Student Services Center,"$1,528.58 ",No,39,74.49%,Social,Mandeville Auditorium
MEChA Week 6 General Body Meeting,2/10/2025,Cross Cultural Center - Community Room,$216.58 ,Not Found,27,-24.67%,GBM,Pepper Canyon
Galentine's Social,2/10/2025,ASML Room,$243.40 ,,15,38.37%,Social,Pepper Canyon
Isabel Arntz,2/10/2025,Earl Warren Room,$19.90 ,Not Found,6,-201.51%,Speaker,Price Center
GBM 2,2/10/2025,Governance Chamber,$150.86 ,Not Found,10,33.71%,GBM,Price Center
C2S GBM,2/10/2025,Student Services Center - Conference Room 300,$173.48 ,Yes,14,19.30%,GBM,Student Services Center
Winter GBM 3,2/11/2025,Price Center Bear Room,$216.58 ,No,19,12.27%,GBM,Price Center
oSTEM Palentine's Day Mixer,2/11/2025,LGBT Resource Center,$172.45 ,Not Found,1,94.20%,Social,Mandeville Auditorium
Islam Awareness Week Tabling: Day 2,2/11/2025,Library Walk,$263.41 ,Not Found,33,-25.28%,Religion,Library Walk
Build a Bag for Seniors,2/11/2025,Green Table Room,$247.40 ,No,5,79.79%,Social,Price Center
Adrian Lee,2/11/2025,Student Center Stage Room,$384.50 ,Not Found,17,55.79%,Speaker,Mandeville Auditorium
Bots Strategies2,2/11/2025,CSE 1202,$233.19 ,Not Found,1,95.71%,Workshop,Warren
WIC x ACM Hack Collab,2/11/2025,B225,$330.00 ,,32,3.03%,Competition,Warren
IAW Night Event 2,2/11/2025,PC Theater,"$1,999.85 ",No,62,69.00%,Social,Price Center
Winter Quarter Projects Social,2/11/2025,SME 248,$140.00 ,Yes,29,-107.14%,Social,Pepper Canyon
Winter W6 Project Committee,2/12/2025,EnVision,$300.00 ,Not Found,28,6.67%,Recruitment,Pepper Canyon
"Bands, Boba, and Beats",2/12/2025,MAVERiC Studio (room 436 in Design and Innovation Building),$181.46 ,Yes,22,-21.24%,Social,Pepper Canyon
IAW Night Event 3,2/12/2025,Multi-Purpose Room Student Services Center,"$1,481.94 ",No,67,54.79%,Social,Mandeville Auditorium
Bouquet Making Social,2/12/2025,Bonner Hall 2140,$132.30 ,Yes,,100.00%,Social,Revelle
