NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
Shrinky Dinks Workshop,11/18/2024,Price Center - Green Table Room,$307.97 ,-,40,,48,100.00%,-55.86%,Good Standing,,Workshop,Price Center
Friendsgiving,11/18/2024,Student Services Center Multipurpose Room,$800.00 ,-,80,57,0,28.75%,100.00%,Good Standing,,Social,Mandeville Auditorium
SCC FA24: GBM,11/19/2024,Price Center Marshall Room,$199.47 ,-,30,30,21,-50.40%,-5.28%,Good Standing,,GBM,Price Center
SWE Fall GBM #3,11/19/2024,Qualcomm Room in Jacobs Hall,$216.58 ,-,30,41,41,-89.31%,-89.31%,Good Standing,,GBM,Warren
PUSH Care Package Social,11/19/2024,Price Center - Bear Room,$41.42 ,-,20,18,18,-334.57%,-334.57%,Good Standing,,Social,Price Center
CSSA Lab Open House,11/19/2024,Price Center Forum,$504.40 ,-,100,144,152,-185.49%,-201.35%,Good Standing,,Recruitment,Price Center
Cornerstone Networking Night,11/19/2024,Wells Fargo Hall 1N108,$426.51 ,-,50,24,0,43.73%,100.00%,Good Standing,,Social,North Campus
ABSA Social,11/20/2024,Warren College Room,$400.00 ,-,56,,40,100.00%,0.00%,Good Standing,,Social,Price Center
Mentor/Mentee Reveal,11/20/2024,Skaggs School of Pharmacy HSEC Classrooms 2&3,$557.00 ,-,56,18,33,67.68%,40.75%,Good Standing,,Social,Wong-Avery
PiB Project Committee Week 8,11/20/2024,Envision,$300.00 ,-,30,42,40,-40.00%,-33.33%,Good Standing,,GBM,Pepper Canyon
Slime Destress Social,11/20/2024,Green Table Room in Price,$89.48 ,-,20,13,13,-45.28%,-45.28%,Good Standing,,Social,Price Center
Cheese Club,11/20/2024,Price Center Red Shoe Room,$342.70 ,-,40,,0,100.00%,100.00%,Good Standing,,Social,Price Center
AED Fall 2024 GBM 4,11/20/2024,Price Center Theatre,$773.91 ,-,200,132,153,-70.56%,-97.70%,Good Standing,,GBM,Price Center
Jezebel Agnes Yangari,11/20/2024,Qualcomm Conference Center (both rooms),$280.00 ,-,28,27,0,3.57%,100.00%,Good Standing,,Speaker,Warren
C2S GBM #3,11/20/2024,ONLINE,$180.00 ,-,18,13,17,27.78%,5.56%,Good Standing,,GBM,Online
IdentiTEA,11/20/2024,Cross Cultural Center - Art Space,$180.75 ,-,35,30,31,-65.98%,-71.51%,Good Standing,,Social,Price Center
PSA Cricket Match,11/21/2024,Muir Field,$323.25 ,-,50,,0,100.00%,100.00%,Good Standing,,Competition,Muir
TBP Joint Faculty Mixer,11/21/2024,CSE 1242,$275.00 ,-,34,23,25,16.36%,9.09%,Good Standing,,Social,Warren
Week 8 GBM,11/21/2024,NSB Auditorium,$163.18 ,-,50,2,0,87.74%,100.00%,Good Standing,,GBM,Revelle
