DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week,log_Attendance_Ratio,log_AWARDED,Month
2024-10-24,Pepper Canyon,Workshop,339.99,No,0.5,Thursday,0.4054651081081644,5.831853151340319,2024-10
2024-10-24,Price Center,Speaker,2280.71,No,0.1095999999999999,Thursday,0.10399959001848469,7.732680440839032,2024-10
2024-10-24,Pepper Canyon,GBM,191.79,No,1.9292,Thursday,1.0747293482047777,5.261601513611377,2024-10
2024-10-24,Price Center,Speaker,570.0,No,0.7368,Thursday,0.552044339581945,6.3473892096560105,2024-10
2024-10-24,Warren,Workshop,598.75,Yes,0.3340000000000001,Thursday,0.288181947493432,6.396512901719804,2024-10
2024-10-25,Price Center,Social,147.5,Yes,0.7458,Friday,0.5572129033191123,5.000584958242754,2024-10
2024-10-27,Price Center,Recruitment,2899.27,Yes,0.9071,Sunday,0.6455837636283357,7.972559115088984,2024-10
2024-10-27,Price Center,Social,2409.95,No,2.083,Sunday,1.1259031489040134,7.78777613968326,2024-10
2024-10-28,Warren,Speaker,344.8,Yes,0.7831,Monday,0.5783534225578639,5.84586057324919,2024-10
2024-10-28,Pepper Canyon,Social,192.46,No,1.0911,Monday,0.7376902433106169,5.265070772754401,2024-10
2024-10-28,Warren,Social,42.89,No,4.4299,Monday,1.6919207175700022,3.7816865037001426,2024-10
2024-10-28,Pepper Canyon,Other,281.79,No,0.9582,Monday,0.6720256839378339,5.64470457271829,2024-10
2024-10-29,Warren,GBM,470.27,No,0.8718,Tuesday,0.626900534741019,6.155431178179958,2024-10
2024-10-29,Mandeville Auditorium,GBM,595.0,Yes,0.9412,Tuesday,0.6633063385489241,6.39024066706535,2024-10
2024-10-29,Warren,Workshop,595.0,Yes,0.7395,Tuesday,0.5535977156098597,6.39024066706535,2024-10
2024-10-29,Pepper Canyon,Social,255.84,Yes,1.0553,Tuesday,0.720421822694826,5.548453322925847,2024-10
2024-10-30,Revelle,GBM,599.99,Yes,0.4667,Wednesday,0.3830149792705725,6.398578295461671,2024-10
2024-10-30,Price Center,Recruitment,242.5,Yes,1.0309,Wednesday,0.7084790445569269,5.495116942522644,2024-10
2024-10-30,Mandeville Auditorium,Speaker,296.31,No,0.7087,Wednesday,0.5357328474720906,5.694775365496226,2024-10
2024-10-30,Price Center,GBM,573.69,Yes,2.2137,Wednesday,1.1674229213283525,6.353830764979499,2024-10
2024-10-30,Pepper Canyon,GBM,349.11,Yes,1.0885,Wednesday,0.736446104955093,5.858247390820336,2024-10
2024-10-30,Price Center,Religion,1154.71,Yes,0.9526,Wednesday,0.6691618178094341,7.052470152708519,2024-10
2024-10-30,Mandeville Auditorium,Religion,209.79,No,1.3823,Wednesday,0.8680664075871379,5.350862377211803,2024-10
